comment,replies,user_name,date
Dude did one movie and became a legend,[],@avishekmajumder3446,2024-02-03T06:05:26Z
Darsheel is such a dude ,[],@1986vishalsah,2024-02-02T17:50:56Z
I think at the end of the day its really simply that every child just wants to be seen and appreciated,[],@hablan3597,2024-02-02T09:32:55Z
WHAT A DIRECTION WHATT A MOVIE CRIED TOO MUCHHH,[],@prernasharma1312,2024-02-02T09:16:07Z
It hits more now😭,[],@nehasalunke100,2024-02-02T08:16:45Z
I love how darsheel always gives credit to people around him,[],@angryaspirant6414,2024-02-02T06:21:28Z
"Literally this movie is like a try not to cry challenge and having watched this film multiple times, I still cry in the end",[],@asp11177,2024-02-02T03:01:23Z
Why do i choke up at the end of this movie even in a react video?!?! 😢😭,[],@parichaysharma5128,2024-02-02T02:44:49Z
Ben stoke rula diya again...tanmay kutte.❤,[],@ravijani7284,2024-02-02T00:52:08Z
I cried when I was adult while watchig this movie. Because I could relate myself with him in movie.,[],@ranaahmad2781,2024-02-01T23:27:49Z
"No matter how many times I watch this movie, It makes me cry everytime... ❤",[],@pritidangwal1936,2024-02-01T17:51:26Z
Aamir Khan is one hell of a genius.,[],@adarsh3264,2024-02-01T16:43:09Z
💓💓,[],@QuoteQuotez,2024-02-01T16:11:00Z
Goosebumps and tears when meri maa came in here 😢😢,[],@akhilanmudaliar920,2024-02-01T04:58:44Z
Darsheel is pretty sorted. Glad to have seen this side of him.,[],@soothsayer8901,2024-01-31T20:36:36Z
People cry watching the godamn reaction too 😢,[],@karma-shorts116,2024-01-31T19:26:02Z
Hey Zokomo is here😍,[],@ranysingh2584,2024-01-31T18:38:31Z
Tanmay Sahab.. Tisca hai shayad unka naam,[],@harshaljadhav8456,2024-01-31T16:12:38Z
Sooooo Goood😭🥺🥺,[],@alishafernandes9229,2024-01-31T14:33:12Z
Even watching just the reaction I'm crying,[],@sumNumm,2024-01-31T12:52:56Z
Who is Disha??? Isn't she Tisca Chopra,[],@annarhysaalbert3804,2024-01-31T07:11:43Z
You just cannot help but cry... this movie is just CULT CLASSIC! absolute Masterpiece.,[],@ShabbirAliKanchwala,2024-01-31T05:17:57Z
This is my favourite movie This will be my favourite movie❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,[],@Brief_knowledge,2024-01-30T19:19:03Z
"Lol I cried seeing this review also, not just the movie 🤣🤣",[],@vibhavadul8179,2024-01-30T17:22:45Z
This movie is a TRY NOT TO CRY CHALLENGE fr..😭,[],@Dwizzz..,2024-01-30T17:07:55Z
give my money back i thought tanmay k show me discuss ho rha hy to hansi to ayegi.. rula dala sala.,[],@tajwarkhan2495,2024-01-30T16:49:54Z
"Nostalgia,Goosebumps,Love",[],@tezavineetff8194,2024-01-30T15:43:09Z
Grow from bum bumbole to tare zamee par,[],@sohampatel18,2024-01-30T15:40:08Z
Fair play dude. !,[],@SanishMaharjan,2024-01-30T14:14:21Z
whats up with this terrible background music.... i can't take their amazing coversation seriously TF😂,[],@bossitivevibes1311,2024-01-30T14:13:50Z
Okay. !,[],@SanishMaharjan,2024-01-30T14:09:00Z
"""I'm a star...."" would've been the most savage thing to say to your principal",[],@bhavyakhatri3088,2024-01-30T14:05:57Z
"No im not crying 😭 
Its just sweat 🤧",[],@Satdotexe,2024-01-30T14:05:50Z
Have my exam in 2 days and im here to cry here and let my emotions out....and successfully released a lot of emotions 😅😅😅😅,[],@vaibhavitiwari2021,2024-01-30T13:10:18Z
I have seen TAARE ZAMEEN PAR MORE THAN 25-30TIMES,[],@salonimittal7457,2024-01-30T12:48:41Z
Tanmay u should have added movie memes yaar beech beech main 😂,[],@zangbang9381,2024-01-30T12:04:55Z
*All those who feel this movie but don't feel the reality of Palestinian children...!?* 😮,[],@abdvlogs5263,2024-01-30T09:09:07Z
Crazy ❤,[],@akshaykhandve4297,2024-01-30T06:26:55Z
He has grown up into such a well spoken individual... Well done Aamir Khan sir... aapka student tarakki karega... 😅,[],@voyagersourabh,2024-01-30T06:03:00Z
When you cry even on reaction --- then it is a great movie for sure ❤,[],@Hemangi_patil,2024-01-30T05:06:16Z
Man i forgot how good the movie was…brought back the tears…,[],@junaidnavid8454,2024-01-29T15:29:26Z
mereh asunh kon pochega roh ladiya Netflix neh,[],@anasibrahim6339,2024-01-29T08:35:28Z
"What idiot doesn’t see he’s still not only cute but intelligent, articulate and so charming! 🥰",[],@TajarajaT,2024-01-29T07:13:34Z
"This was a nice surprise. Thank you, Tanmay! Keep up the good work.",[],@csgollum,2024-01-29T05:06:22Z
First time Tanmay 's video made me cry. Memories 😅❤,[],@kunalsarma1075,2024-01-29T04:45:56Z
this movie was a milestone,[],@tweetash,2024-01-27T16:57:04Z
17:54 ❤❤❤,[],@Neuro-1,2024-01-27T16:02:11Z
17:49 ❤,[],@Neuro-1,2024-01-27T16:02:07Z
He sounds 15 😢😂😂,[],@itsjussforfunn,2024-01-17T14:44:27Z
Aamir Khan is a genius,[],@Strangeronapath,2024-01-15T15:19:54Z
"Darsheel is such a nice, well behaved guy. May he go where he wants to. Parents- you raised him well.",[],@thestreetlogbook611,2023-12-23T21:26:32Z
